warehouse_id,warehouse_name,x_length_m,y_length_m,z_height_m,date,time,stock,loaded_unloaded
WH002,East Zone Hub,35,57,19,2023-01-02,06:00:00,1062,unloaded
WH002,East Zone Hub,30,30,16,2023-01-02,07:00:00,239,loaded
WH002,East Zone Hub,49,42,16,2023-01-02,08:00:00,682,loaded
WH003,South Central Storage,37,56,16,2023-01-02,09:00:00,759,unloaded
WH001,North Zone Depot,53,44,18,2023-01-02,10:00:00,733,unloaded
WH001,North Zone Depot,59,46,17,2023-01-02,11:00:00,1186,unloaded
WH002,East Zone Hub,34,46,15,2023-01-02,12:00:00,1186,loaded
WH003,South Central Storage,31,31,19,2023-01-02,13:00:00,162,unloaded
WH003,South Central Storage,48,59,9,2023-01-02,14:00:00,434,loaded
WH002,East Zone Hub,33,52,18,2023-01-02,15:00:00,296,unloaded
WH003,South Central Storage,35,53,12,2023-01-02,16:00:00,450,unloaded
WH002,East Zone Hub,51,40,8,2023-01-02,17:00:00,247,loaded
WH003,South Central Storage,58,32,11,2023-01-02,18:00:00,513,unloaded
WH003,South Central Storage,55,32,10,2023-01-02,19:00:00,452,unloaded
WH003,South Central Storage,30,37,14,2023-01-02,20:00:00,538,unloaded
WH001,North Zone Depot,47,52,17,2023-01-02,21:00:00,522,loaded
WH003,South Central Storage,55,45,16,2023-01-02,22:00:00,193,unloaded
WH001,North Zone Depot,30,45,19,2023-01-02,23:00:00,51,loaded
WH001,North Zone Depot,38,38,10,2023-01-03,00:00:00,1064,loaded
WH003,South Central Storage,53,51,15,2023-01-03,01:00:00,453,loaded
WH003,South Central Storage,49,59,10,2023-01-03,02:00:00,153,unloaded
WH002,East Zone Hub,54,58,9,2023-01-03,03:00:00,148,unloaded
WH002,East Zone Hub,31,51,10,2023-01-03,04:00:00,387,unloaded
WH001,North Zone Depot,33,30,12,2023-01-03,05:00:00,210,unloaded
WH003,South Central Storage,30,45,19,2023-01-03,06:00:00,450,loaded
WH003,South Central Storage,52,51,13,2023-01-03,07:00:00,519,unloaded
WH001,North Zone Depot,51,37,18,2023-01-03,08:00:00,612,loaded
WH002,East Zone Hub,30,57,8,2023-01-03,09:00:00,847,loaded
WH001,North Zone Depot,48,33,10,2023-01-03,10:00:00,865,unloaded
WH001,North Zone Depot,41,57,12,2023-01-03,11:00:00,66,unloaded
WH003,South Central Storage,53,58,8,2023-01-03,12:00:00,1110,unloaded
WH001,North Zone Depot,32,57,8,2023-01-03,13:00:00,656,unloaded
WH003,South Central Storage,50,52,8,2023-01-03,14:00:00,302,unloaded
WH003,South Central Storage,47,54,17,2023-01-03,15:00:00,177,loaded
WH002,East Zone Hub,32,37,15,2023-01-03,16:00:00,619,unloaded
WH003,South Central Storage,52,31,18,2023-01-03,17:00:00,903,unloaded
WH002,East Zone Hub,37,30,16,2023-01-03,18:00:00,834,loaded
WH002,East Zone Hub,58,39,14,2023-01-03,19:00:00,1112,unloaded
WH003,South Central Storage,53,42,19,2023-01-03,20:00:00,970,unloaded
WH003,South Central Storage,42,49,8,2023-01-03,21:00:00,85,unloaded
WH002,East Zone Hub,43,41,10,2023-01-03,22:00:00,449,loaded
WH003,South Central Storage,31,31,14,2023-01-03,23:00:00,1165,loaded
WH002,East Zone Hub,54,55,13,2023-01-04,00:00:00,100,unloaded
WH002,East Zone Hub,49,39,13,2023-01-04,01:00:00,354,loaded
WH002,East Zone Hub,57,34,8,2023-01-04,02:00:00,1052,unloaded
WH001,North Zone Depot,41,34,14,2023-01-04,03:00:00,1053,unloaded
WH002,East Zone Hub,49,59,10,2023-01-04,04:00:00,926,loaded
WH001,North Zone Depot,57,39,10,2023-01-04,05:00:00,419,loaded
WH003,South Central Storage,52,55,12,2023-01-04,06:00:00,1131,unloaded
WH001,North Zone Depot,38,41,12,2023-01-04,07:00:00,840,loaded
WH002,East Zone Hub,30,44,9,2023-01-04,08:00:00,683,unloaded
WH002,East Zone Hub,45,54,15,2023-01-04,09:00:00,1191,loaded
WH001,North Zone Depot,45,58,14,2023-01-04,10:00:00,946,unloaded
WH003,South Central Storage,51,58,14,2023-01-04,11:00:00,630,loaded
WH002,East Zone Hub,51,54,19,2023-01-04,12:00:00,1046,loaded
WH003,South Central Storage,59,43,11,2023-01-04,13:00:00,1058,loaded
WH002,East Zone Hub,45,50,14,2023-01-04,14:00:00,523,unloaded
WH001,North Zone Depot,52,55,17,2023-01-04,15:00:00,406,unloaded
WH001,North Zone Depot,31,49,17,2023-01-04,16:00:00,1173,unloaded
WH003,South Central Storage,30,53,12,2023-01-04,17:00:00,491,loaded
WH003,South Central Storage,46,57,18,2023-01-04,18:00:00,307,unloaded
WH002,East Zone Hub,30,30,10,2023-01-04,19:00:00,429,loaded
WH001,North Zone Depot,41,58,19,2023-01-04,20:00:00,1116,loaded
WH002,East Zone Hub,47,32,14,2023-01-04,21:00:00,548,loaded
WH002,East Zone Hub,58,55,17,2023-01-04,22:00:00,825,unloaded
WH002,East Zone Hub,48,38,14,2023-01-04,23:00:00,467,unloaded
WH002,East Zone Hub,58,53,11,2023-01-05,00:00:00,1148,loaded
WH001,North Zone Depot,54,33,17,2023-01-05,01:00:00,1070,loaded
WH001,North Zone Depot,32,46,10,2023-01-05,02:00:00,969,unloaded
WH002,East Zone Hub,36,53,14,2023-01-05,03:00:00,1058,unloaded
WH001,North Zone Depot,54,32,16,2023-01-05,04:00:00,328,unloaded
WH001,North Zone Depot,49,45,16,2023-01-05,05:00:00,111,unloaded
WH001,North Zone Depot,48,46,11,2023-01-05,06:00:00,748,unloaded
WH001,North Zone Depot,38,36,19,2023-01-05,07:00:00,125,unloaded
WH003,South Central Storage,55,44,12,2023-01-05,08:00:00,900,loaded
WH003,South Central Storage,54,49,18,2023-01-05,09:00:00,445,loaded
WH001,North Zone Depot,36,42,12,2023-01-05,10:00:00,618,unloaded
WH002,East Zone Hub,43,55,12,2023-01-05,11:00:00,984,loaded
WH003,South Central Storage,40,40,9,2023-01-05,12:00:00,782,loaded
WH001,North Zone Depot,55,41,8,2023-01-05,13:00:00,1147,loaded
WH002,East Zone Hub,38,47,18,2023-01-05,14:00:00,219,unloaded
WH002,East Zone Hub,34,35,10,2023-01-05,15:00:00,78,unloaded
WH001,North Zone Depot,46,36,16,2023-01-05,16:00:00,549,loaded
WH002,East Zone Hub,41,51,14,2023-01-05,17:00:00,494,loaded
WH002,East Zone Hub,59,32,9,2023-01-05,18:00:00,88,unloaded
WH002,East Zone Hub,49,57,15,2023-01-05,19:00:00,1131,loaded
WH003,South Central Storage,32,42,19,2023-01-05,20:00:00,1074,unloaded
WH001,North Zone Depot,30,35,12,2023-01-05,21:00:00,873,unloaded
WH002,East Zone Hub,42,58,12,2023-01-05,22:00:00,734,unloaded
WH002,East Zone Hub,57,34,11,2023-01-05,23:00:00,252,loaded
WH003,South Central Storage,38,46,8,2023-01-06,00:00:00,96,loaded
WH002,East Zone Hub,52,54,18,2023-01-06,01:00:00,705,unloaded
WH002,East Zone Hub,45,37,13,2023-01-06,02:00:00,785,unloaded
WH001,North Zone Depot,55,57,11,2023-01-06,03:00:00,1081,unloaded
WH002,East Zone Hub,57,34,16,2023-01-06,04:00:00,589,unloaded
WH003,South Central Storage,46,38,8,2023-01-06,05:00:00,551,loaded
WH001,North Zone Depot,45,58,10,2023-01-06,06:00:00,781,loaded
WH002,East Zone Hub,34,44,16,2023-01-06,07:00:00,932,unloaded
WH002,East Zone Hub,59,47,18,2023-01-06,08:00:00,873,loaded
WH001,North Zone Depot,53,30,13,2023-01-06,09:00:00,1192,loaded
WH002,East Zone Hub,44,46,18,2023-01-06,10:00:00,273,loaded
WH002,East Zone Hub,54,51,18,2023-01-06,11:00:00,112,loaded
WH001,North Zone Depot,32,30,12,2023-01-06,12:00:00,154,unloaded
WH003,South Central Storage,57,46,12,2023-01-06,13:00:00,567,loaded
WH001,North Zone Depot,50,52,12,2023-01-06,14:00:00,820,loaded
WH001,North Zone Depot,39,48,8,2023-01-06,15:00:00,763,loaded
WH002,East Zone Hub,43,30,10,2023-01-06,16:00:00,506,loaded
WH001,North Zone Depot,46,37,9,2023-01-06,17:00:00,498,unloaded
WH003,South Central Storage,36,55,17,2023-01-06,18:00:00,1145,unloaded
WH002,East Zone Hub,32,56,9,2023-01-06,19:00:00,167,unloaded
WH001,North Zone Depot,41,34,18,2023-01-06,20:00:00,1127,loaded
WH001,North Zone Depot,44,52,12,2023-01-06,21:00:00,673,loaded
WH002,East Zone Hub,40,48,14,2023-01-06,22:00:00,627,unloaded
WH002,East Zone Hub,47,31,9,2023-01-06,23:00:00,855,unloaded
WH003,South Central Storage,48,31,11,2023-01-07,00:00:00,908,loaded
WH002,East Zone Hub,44,57,14,2023-01-07,01:00:00,1033,unloaded
WH003,South Central Storage,34,58,11,2023-01-07,02:00:00,130,unloaded
WH001,North Zone Depot,57,49,15,2023-01-07,03:00:00,834,loaded
WH002,East Zone Hub,31,42,18,2023-01-07,04:00:00,102,loaded
WH003,South Central Storage,54,52,14,2023-01-07,05:00:00,160,unloaded
WH003,South Central Storage,37,33,15,2023-01-07,06:00:00,949,loaded
WH003,South Central Storage,58,47,17,2023-01-07,07:00:00,716,loaded
WH003,South Central Storage,47,57,17,2023-01-07,08:00:00,1078,loaded
WH002,East Zone Hub,30,34,16,2023-01-07,09:00:00,887,unloaded
WH002,East Zone Hub,31,46,17,2023-01-07,10:00:00,1119,loaded
WH003,South Central Storage,55,54,16,2023-01-07,11:00:00,1146,unloaded
WH003,South Central Storage,59,40,8,2023-01-07,12:00:00,1129,unloaded
WH001,North Zone Depot,46,32,11,2023-01-07,13:00:00,57,loaded
WH003,South Central Storage,53,51,17,2023-01-07,14:00:00,688,unloaded
WH003,South Central Storage,53,31,17,2023-01-07,15:00:00,127,unloaded
WH003,South Central Storage,36,32,14,2023-01-07,16:00:00,932,unloaded
WH003,South Central Storage,32,48,16,2023-01-07,17:00:00,855,loaded
WH001,North Zone Depot,39,36,16,2023-01-07,18:00:00,77,loaded
WH003,South Central Storage,55,59,19,2023-01-07,19:00:00,135,loaded
WH001,North Zone Depot,33,39,10,2023-01-07,20:00:00,74,loaded
WH001,North Zone Depot,33,44,13,2023-01-07,21:00:00,160,unloaded
WH003,South Central Storage,48,39,16,2023-01-07,22:00:00,797,loaded
WH002,East Zone Hub,55,31,18,2023-01-07,23:00:00,741,unloaded
WH003,South Central Storage,35,34,16,2023-01-08,00:00:00,926,loaded
WH001,North Zone Depot,50,35,13,2023-01-08,01:00:00,711,loaded
WH002,East Zone Hub,59,59,15,2023-01-08,02:00:00,892,loaded
WH001,North Zone Depot,32,48,15,2023-01-08,03:00:00,808,loaded
WH003,South Central Storage,31,49,19,2023-01-08,04:00:00,55,loaded
WH003,South Central Storage,51,46,15,2023-01-08,05:00:00,695,unloaded
WH003,South Central Storage,54,31,18,2023-01-08,06:00:00,623,unloaded
WH002,East Zone Hub,41,34,13,2023-01-08,07:00:00,222,unloaded
WH002,East Zone Hub,48,49,8,2023-01-08,08:00:00,885,unloaded
WH001,North Zone Depot,44,30,17,2023-01-08,09:00:00,189,unloaded
WH002,East Zone Hub,33,42,18,2023-01-08,10:00:00,188,loaded
WH001,North Zone Depot,47,53,17,2023-01-08,11:00:00,951,loaded
WH003,South Central Storage,31,42,15,2023-01-08,12:00:00,221,unloaded
WH001,North Zone Depot,46,38,18,2023-01-08,13:00:00,378,loaded
WH002,East Zone Hub,46,34,19,2023-01-08,14:00:00,1168,unloaded
WH002,East Zone Hub,50,53,18,2023-01-08,15:00:00,383,loaded
WH002,East Zone Hub,32,32,8,2023-01-08,16:00:00,637,unloaded
WH002,East Zone Hub,34,43,19,2023-01-08,17:00:00,922,unloaded
WH003,South Central Storage,34,34,10,2023-01-08,18:00:00,774,loaded
WH002,East Zone Hub,33,54,17,2023-01-08,19:00:00,623,loaded
WH002,East Zone Hub,37,36,15,2023-01-08,20:00:00,345,unloaded
WH003,South Central Storage,30,52,8,2023-01-08,21:00:00,471,loaded
WH001,North Zone Depot,52,31,12,2023-01-08,22:00:00,1056,unloaded
WH003,South Central Storage,48,35,13,2023-01-08,23:00:00,1112,loaded
WH003,South Central Storage,49,44,8,2023-01-09,00:00:00,603,unloaded
WH002,East Zone Hub,33,58,13,2023-01-09,01:00:00,972,loaded
WH001,North Zone Depot,34,56,14,2023-01-09,02:00:00,1070,loaded
WH002,East Zone Hub,51,31,17,2023-01-09,03:00:00,245,loaded
WH003,South Central Storage,51,35,11,2023-01-09,04:00:00,914,loaded
WH003,South Central Storage,33,41,9,2023-01-09,05:00:00,96,loaded
WH003,South Central Storage,48,33,11,2023-01-09,06:00:00,676,unloaded
WH003,South Central Storage,49,40,17,2023-01-09,07:00:00,118,unloaded
WH002,East Zone Hub,52,44,17,2023-01-09,08:00:00,761,unloaded
WH003,South Central Storage,55,42,15,2023-01-09,09:00:00,445,unloaded
WH002,East Zone Hub,30,44,15,2023-01-09,10:00:00,1034,unloaded
WH003,South Central Storage,33,45,11,2023-01-09,11:00:00,1053,loaded
WH001,North Zone Depot,39,46,19,2023-01-09,12:00:00,176,loaded
WH002,East Zone Hub,48,58,15,2023-01-09,13:00:00,1063,loaded
WH002,East Zone Hub,52,30,12,2023-01-09,14:00:00,828,loaded
WH002,East Zone Hub,51,52,16,2023-01-09,15:00:00,469,loaded
WH003,South Central Storage,48,37,12,2023-01-09,16:00:00,616,loaded
WH001,North Zone Depot,49,54,12,2023-01-09,17:00:00,251,unloaded
WH001,North Zone Depot,49,54,17,2023-01-09,18:00:00,624,loaded
WH002,East Zone Hub,36,47,18,2023-01-09,19:00:00,435,unloaded
WH003,South Central Storage,40,56,19,2023-01-09,20:00:00,689,loaded
WH003,South Central Storage,54,36,11,2023-01-09,21:00:00,713,unloaded
WH001,North Zone Depot,58,40,13,2023-01-09,22:00:00,226,unloaded
WH002,East Zone Hub,36,46,11,2023-01-09,23:00:00,1122,loaded
WH001,North Zone Depot,51,51,19,2023-01-10,00:00:00,197,loaded
WH001,North Zone Depot,36,30,14,2023-01-10,01:00:00,610,loaded
WH003,South Central Storage,48,59,8,2023-01-10,02:00:00,1001,loaded
WH001,North Zone Depot,45,37,10,2023-01-10,03:00:00,335,unloaded
WH001,North Zone Depot,48,44,9,2023-01-10,04:00:00,639,unloaded
WH002,East Zone Hub,46,47,13,2023-01-10,05:00:00,1037,loaded
WH003,South Central Storage,52,36,10,2023-01-10,06:00:00,974,unloaded
WH002,East Zone Hub,57,30,14,2023-01-10,07:00:00,211,loaded
WH002,East Zone Hub,30,54,14,2023-01-10,08:00:00,1081,loaded
WH003,South Central Storage,58,37,13,2023-01-10,09:00:00,492,loaded
WH003,South Central Storage,48,30,19,2023-01-10,10:00:00,628,loaded
WH002,East Zone Hub,53,43,15,2023-01-10,11:00:00,145,unloaded
WH003,South Central Storage,49,34,13,2023-01-10,12:00:00,501,loaded
WH002,East Zone Hub,52,45,9,2023-01-10,13:00:00,784,loaded
WH002,East Zone Hub,30,52,12,2023-01-10,14:00:00,824,loaded
WH001,North Zone Depot,33,58,19,2023-01-10,15:00:00,964,unloaded
WH002,East Zone Hub,34,49,18,2023-01-10,16:00:00,864,unloaded
WH003,South Central Storage,52,52,19,2023-01-10,17:00:00,756,unloaded
WH001,North Zone Depot,35,59,16,2023-01-10,18:00:00,854,unloaded
WH001,North Zone Depot,32,49,17,2023-01-10,19:00:00,989,unloaded
WH001,North Zone Depot,59,53,18,2023-01-10,20:00:00,763,unloaded
WH003,South Central Storage,46,47,10,2023-01-10,21:00:00,177,loaded
WH002,East Zone Hub,37,31,16,2023-01-10,22:00:00,570,loaded
WH001,North Zone Depot,33,55,17,2023-01-10,23:00:00,543,loaded
WH001,North Zone Depot,52,34,18,2023-01-11,00:00:00,659,unloaded
WH002,East Zone Hub,50,39,11,2023-01-11,01:00:00,177,loaded
WH002,East Zone Hub,46,34,16,2023-01-11,02:00:00,83,unloaded
WH002,East Zone Hub,52,50,17,2023-01-11,03:00:00,637,unloaded
WH001,North Zone Depot,54,35,18,2023-01-11,04:00:00,76,unloaded
WH002,East Zone Hub,42,54,12,2023-01-11,05:00:00,317,loaded
WH002,East Zone Hub,50,57,17,2023-01-11,06:00:00,971,unloaded
WH002,East Zone Hub,51,40,8,2023-01-11,07:00:00,1069,loaded
WH001,North Zone Depot,58,50,18,2023-01-11,08:00:00,843,unloaded
WH003,South Central Storage,46,56,14,2023-01-11,09:00:00,725,unloaded
WH003,South Central Storage,52,44,15,2023-01-11,10:00:00,147,unloaded
WH002,East Zone Hub,53,30,17,2023-01-11,11:00:00,118,unloaded
WH003,South Central Storage,56,42,18,2023-01-11,12:00:00,1007,unloaded
WH001,North Zone Depot,31,50,16,2023-01-11,13:00:00,203,loaded
WH001,North Zone Depot,40,37,17,2023-01-11,14:00:00,110,loaded
WH003,South Central Storage,47,34,19,2023-01-11,15:00:00,180,unloaded
WH003,South Central Storage,31,41,10,2023-01-11,16:00:00,151,loaded
WH003,South Central Storage,58,46,17,2023-01-11,17:00:00,866,loaded
WH003,South Central Storage,59,45,15,2023-01-11,18:00:00,61,loaded
WH003,South Central Storage,46,52,12,2023-01-11,19:00:00,710,unloaded
WH002,East Zone Hub,54,41,18,2023-01-11,20:00:00,515,unloaded
WH001,North Zone Depot,39,45,14,2023-01-11,21:00:00,96,loaded
WH003,South Central Storage,51,55,14,2023-01-11,22:00:00,1030,unloaded
WH003,South Central Storage,36,38,10,2023-01-11,23:00:00,678,unloaded
WH002,East Zone Hub,52,58,9,2023-01-12,00:00:00,876,loaded
WH002,East Zone Hub,36,32,9,2023-01-12,01:00:00,421,loaded
WH002,East Zone Hub,46,43,15,2023-01-12,02:00:00,664,loaded
WH001,North Zone Depot,32,34,18,2023-01-12,03:00:00,1171,unloaded
WH002,East Zone Hub,52,41,14,2023-01-12,04:00:00,232,loaded
WH001,North Zone Depot,54,42,9,2023-01-12,05:00:00,1031,loaded
WH001,North Zone Depot,59,31,14,2023-01-12,06:00:00,1181,loaded
WH002,East Zone Hub,59,56,14,2023-01-12,07:00:00,595,loaded
WH001,North Zone Depot,43,49,8,2023-01-12,08:00:00,1112,loaded
WH002,East Zone Hub,41,54,15,2023-01-12,09:00:00,294,unloaded
WH003,South Central Storage,39,59,16,2023-01-12,10:00:00,426,loaded
WH003,South Central Storage,34,30,8,2023-01-12,11:00:00,389,loaded
WH001,North Zone Depot,59,47,11,2023-01-12,12:00:00,425,unloaded
WH002,East Zone Hub,54,45,8,2023-01-12,13:00:00,342,loaded
WH002,East Zone Hub,44,46,16,2023-01-12,14:00:00,634,unloaded
WH003,South Central Storage,34,40,19,2023-01-12,15:00:00,110,unloaded
WH003,South Central Storage,59,42,9,2023-01-12,16:00:00,60,loaded
WH003,South Central Storage,33,56,15,2023-01-12,17:00:00,613,unloaded
WH001,North Zone Depot,48,42,17,2023-01-12,18:00:00,934,loaded
WH002,East Zone Hub,55,38,8,2023-01-12,19:00:00,874,unloaded
WH003,South Central Storage,44,52,8,2023-01-12,20:00:00,103,loaded
WH003,South Central Storage,55,46,18,2023-01-12,21:00:00,1093,unloaded
WH003,South Central Storage,47,59,8,2023-01-12,22:00:00,739,unloaded
WH003,South Central Storage,32,35,15,2023-01-12,23:00:00,209,loaded
WH003,South Central Storage,38,33,12,2023-01-13,00:00:00,1162,unloaded
WH003,South Central Storage,32,56,19,2023-01-13,01:00:00,1001,loaded
WH001,North Zone Depot,31,41,17,2023-01-13,02:00:00,970,loaded
WH003,South Central Storage,54,34,18,2023-01-13,03:00:00,89,loaded
WH002,East Zone Hub,57,44,13,2023-01-13,04:00:00,1033,unloaded
WH003,South Central Storage,35,34,19,2023-01-13,05:00:00,963,unloaded
WH001,North Zone Depot,34,42,8,2023-01-13,06:00:00,845,unloaded
WH001,North Zone Depot,59,58,10,2023-01-13,07:00:00,273,unloaded
WH003,South Central Storage,31,37,18,2023-01-13,08:00:00,1113,loaded
WH001,North Zone Depot,48,45,15,2023-01-13,09:00:00,265,unloaded
WH001,North Zone Depot,56,45,16,2023-01-13,10:00:00,620,loaded
WH003,South Central Storage,54,50,17,2023-01-13,11:00:00,606,unloaded
WH003,South Central Storage,57,36,12,2023-01-13,12:00:00,471,loaded
WH001,North Zone Depot,54,48,14,2023-01-13,13:00:00,875,unloaded
WH002,East Zone Hub,40,50,14,2023-01-13,14:00:00,721,loaded
WH002,East Zone Hub,31,43,19,2023-01-13,15:00:00,405,loaded
WH002,East Zone Hub,56,46,16,2023-01-13,16:00:00,1119,loaded
WH003,South Central Storage,57,53,10,2023-01-13,17:00:00,915,unloaded
WH002,East Zone Hub,59,36,17,2023-01-13,18:00:00,516,loaded
WH002,East Zone Hub,44,59,12,2023-01-13,19:00:00,621,loaded
WH002,East Zone Hub,33,47,11,2023-01-13,20:00:00,965,loaded
WH001,North Zone Depot,51,46,17,2023-01-13,21:00:00,573,unloaded
WH001,North Zone Depot,55,53,18,2023-01-13,22:00:00,71,unloaded
WH002,East Zone Hub,44,58,19,2023-01-13,23:00:00,753,unloaded
WH003,South Central Storage,58,41,14,2023-01-14,00:00:00,997,loaded
WH003,South Central Storage,35,44,10,2023-01-14,01:00:00,1106,loaded
WH002,East Zone Hub,58,33,8,2023-01-14,02:00:00,787,loaded
WH001,North Zone Depot,44,52,18,2023-01-14,03:00:00,88,unloaded
WH002,East Zone Hub,49,51,18,2023-01-14,04:00:00,1023,loaded
WH003,South Central Storage,59,41,15,2023-01-14,05:00:00,898,unloaded
WH001,North Zone Depot,44,45,12,2023-01-14,06:00:00,70,loaded
WH002,East Zone Hub,57,35,9,2023-01-14,07:00:00,619,loaded
WH003,South Central Storage,54,53,19,2023-01-14,08:00:00,1058,unloaded
WH003,South Central Storage,45,56,15,2023-01-14,09:00:00,541,unloaded
WH002,East Zone Hub,46,58,12,2023-01-14,10:00:00,1034,unloaded
WH003,South Central Storage,43,47,11,2023-01-14,11:00:00,1100,loaded
WH003,South Central Storage,41,50,15,2023-01-14,12:00:00,398,unloaded
WH002,East Zone Hub,49,43,16,2023-01-14,13:00:00,948,unloaded
WH002,East Zone Hub,46,59,19,2023-01-14,14:00:00,504,unloaded
WH001,North Zone Depot,57,51,13,2023-01-14,15:00:00,1066,loaded
WH001,North Zone Depot,53,37,18,2023-01-14,16:00:00,435,unloaded
WH001,North Zone Depot,37,50,9,2023-01-14,17:00:00,770,unloaded
WH002,East Zone Hub,35,40,16,2023-01-14,18:00:00,656,loaded
WH002,East Zone Hub,51,48,15,2023-01-14,19:00:00,828,loaded
WH001,North Zone Depot,54,43,13,2023-01-14,20:00:00,637,unloaded
WH001,North Zone Depot,37,47,19,2023-01-14,21:00:00,763,loaded
WH002,East Zone Hub,30,38,8,2023-01-14,22:00:00,274,loaded
WH002,East Zone Hub,36,31,13,2023-01-14,23:00:00,967,loaded
WH002,East Zone Hub,47,44,9,2023-01-15,00:00:00,171,unloaded
WH003,South Central Storage,46,37,18,2023-01-15,01:00:00,477,loaded
WH003,South Central Storage,35,38,13,2023-01-15,02:00:00,684,loaded
WH003,South Central Storage,38,47,19,2023-01-15,03:00:00,272,unloaded
WH002,East Zone Hub,59,44,18,2023-01-15,04:00:00,1157,loaded
WH003,South Central Storage,49,45,11,2023-01-15,05:00:00,508,unloaded
WH002,East Zone Hub,55,32,16,2023-01-15,06:00:00,71,unloaded
WH002,East Zone Hub,40,47,13,2023-01-15,07:00:00,63,unloaded
WH003,South Central Storage,54,42,10,2023-01-15,08:00:00,958,unloaded
WH003,South Central Storage,33,42,15,2023-01-15,09:00:00,799,loaded
WH003,South Central Storage,52,48,19,2023-01-15,10:00:00,358,unloaded
WH002,East Zone Hub,48,51,12,2023-01-15,11:00:00,963,unloaded
WH001,North Zone Depot,32,57,17,2023-01-15,12:00:00,1132,loaded
WH003,South Central Storage,58,51,8,2023-01-15,13:00:00,494,loaded
WH001,North Zone Depot,50,55,15,2023-01-15,14:00:00,911,unloaded
WH001,North Zone Depot,57,41,11,2023-01-15,15:00:00,565,unloaded
WH002,East Zone Hub,38,33,17,2023-01-15,16:00:00,996,loaded
WH002,East Zone Hub,44,31,11,2023-01-15,17:00:00,627,unloaded
WH003,South Central Storage,48,55,13,2023-01-15,18:00:00,804,loaded
WH003,South Central Storage,37,50,8,2023-01-15,19:00:00,579,loaded
WH002,East Zone Hub,45,59,14,2023-01-15,20:00:00,149,unloaded
WH002,East Zone Hub,31,52,12,2023-01-15,21:00:00,383,loaded
WH002,East Zone Hub,38,59,13,2023-01-15,22:00:00,1054,unloaded
WH001,North Zone Depot,53,36,16,2023-01-15,23:00:00,63,unloaded
WH002,East Zone Hub,46,56,16,2023-01-16,00:00:00,887,loaded
WH002,East Zone Hub,30,37,19,2023-01-16,01:00:00,310,unloaded
WH001,North Zone Depot,44,40,17,2023-01-16,02:00:00,968,loaded
WH002,East Zone Hub,45,39,17,2023-01-16,03:00:00,319,unloaded
WH002,East Zone Hub,49,37,18,2023-01-16,04:00:00,182,unloaded
WH001,North Zone Depot,51,49,19,2023-01-16,05:00:00,362,loaded
WH003,South Central Storage,34,41,12,2023-01-16,06:00:00,736,loaded
WH001,North Zone Depot,44,44,13,2023-01-16,07:00:00,205,unloaded
WH003,South Central Storage,49,47,9,2023-01-16,08:00:00,1006,loaded
WH003,South Central Storage,55,58,8,2023-01-16,09:00:00,1093,loaded
WH003,South Central Storage,34,50,18,2023-01-16,10:00:00,247,loaded
WH001,North Zone Depot,48,43,19,2023-01-16,11:00:00,1058,unloaded
